text,image,likes,comments,shares
"['Shot', 'photographer', 'David', 'Wilder', 'spent', 'two', 'night', 'car', 'capturing', 'brilliant', 'morning', 'sky', 'Little', 'know', 'going', 'see', 'amazing', 'sunrise', 'life', 'writes']",1,15772,237,0
"['Ruler', 'two', 'nation', 'mother', 'king', 'queen', 'leader', 'crusade', 'Eleanor', 'Aquitaine', 'savvy', 'power', 'player', 'medieval', 'France', 'England', 'mighty', 'medieval', 'woman', 'outwitted', 'outlasted', 'rival']",1,5680,115,982
"['Peer', 'inside', 'Asias', 'longest', 'cave', 'brimming', 'fossil', 'rare', 'specie', 'Shuanghe', 'Cave', 'Asias', 'Longest', 'Cave']",1,1339,21,130
"['Home', 'half', 'million', 'people', 'Transdniestria', 'form', 'currency', 'constitution', 'standing', 'armybut', 'not', 'considered', 'country', 'Country', 'not', 'Exist']",1,2492,144,458
"['Although', 'megaresorts', 'dominate', 'ski', 'industry', 'family', 'pining', 'lowerkey', 'ski', 'vacation', 'option', 'Bigger', 'isnt', 'always', 'better', 'family', 'ski', 'trip']",1,1087,17,55
"['dinner', 'time', 'great', 'white', 'shark', 'even', 'canister', 'hanging', 'camera', 'pole', 'fair', 'game']",0,8644,247,0
"['National', 'Geographic', 'archive', 'offer', 'unique', 'window', 'pastand', 'highlight', 'importance', 'mindful', 'travel', 'future', 'like', 'travel', 'time', 'National', 'Geographics', 'archive']",1,803,19,56
"['Diamonds', 'arent', 'pretty', 'say', 'also', 'tell', 'u', 'lot', 'Earth', 'Earths', 'seafloor', 'may', 'destined', 'become', 'diamond']",1,4613,97,646
"['technological', 'battle', 'burned', 'hot', 'two', 'genius', 'competing', 'vision', 'future', 'electricity', 'Edison', 'Teslas', 'cutthroat', 'Current', 'War', 'ushered', 'electric', 'age']",1,2282,246,381
"['scientist', 'artist', 'researcher', 'helped', 'bring', 'recordbreaking', 'deep', 'sea', 'expedition', 'life', '1930s', 'woman', 'unlocked', 'mystery', 'deep', 'sea']",1,3088,31,562
"['American', 'port', 'stopover', 'global', 'trade', 'route', 'shipment', 'legal', 'illegal', 'shark', 'fin', 'US', 'inadvertently', 'facilitating', 'shark', 'fin', 'smuggling']",1,1657,154,565
"['course', 'outbreak', 'US', 'could', 'require', 'seven', 'billion', 'respirator', 'face', 'mask', 'protect', 'health', 'worker', 'coronavirus', 'threat', 'Meanwhile', 'rising', 'demand', 'hoarding', 'misuse', 'increasingly', 'disrupting', 'global', 'supply', 'US', 'fraction', 'medical', 'supply', 'need', 'combat', 'coronavirus']",1,2424,735,1045
"['note', 'Rachael', 'Bale', 'Executive', 'Editor', 'Animals', 'National', 'Geographic', 'Im', 'skeptic', 'come', 'International', 'X', 'Day', 'World', 'Day', 'Mostly', 'theyre', 'niche', 'topic', 'give', 'u', 'excuse', 'post', 'photo', 'cat', 'eat', 'donut', 'clear', 'Im', 'not', 'complaining', 'journalistic', 'perspective', 'there', 'not', 'ton', 'u', 'WorldWildlifeDay', 'handI', 'work', 'UNdesignated', 'holiday', 'fall', 'Tuesday', 'March', '3', 'theme', 'sustaining', 'life', 'Earth', 'raising', 'awareness', 'importance', 'planet', 'rich', 'diversity', 'wildlife', 'whats', 'risk', 'continue', 'exploit', 'message', 'strive', 'deliver', 'journalism', 'every', 'day', 'work', 'goal', 'storytelling', 'inspires', 'reader', 'care', 'enough', 'take', 'action', 'protect', 'world', 'wildlife', 'Bringing', 'story', 'important', 'animal', 'issue', 'may', 'not', 'know', 'play', 'part', 'shining', 'light', 'world', 'trafficked', 'mammalthe', 'pangolin', 'many', 'people', 'never', 'heard', 'ofto', 'highlighting', 'threat', 'invasive', 'specie', 'pose', 'sensitive', 'ecosystem', 'photographer', 'writer', 'aim', 'arm', 'information', 'inspiration', 'care', 'care', 'Earths', 'biodiversity', 'not', 'yet', 'subscriber', 'consider', 'signing', 'today', 'knowing', 'support', 'help', 'fund', 'science', 'conservation', 'educationand', 'journalism', 'send', 'writer', 'photographer', 'around', 'world', 'bring', 'story', 'no', 'one', 'else', 'Sometimes', 'mean', 'spending', 'day', 'sitting', 'hundred', 'foot', 'tree', 'waiting', 'rarely', 'seenand', 'even', 'rarely', 'photographedbird', 'Sometimes', 'mean', 'scaling', 'harrowing', 'cliffswhile', 'taking', 'NatGeoworthy', 'photo', 'time', 'Thank', 'reading', 'sharing', 'story', 'Thank', 'story', 'idea', 'feedback', 'subscriber', 'especiallythank', 'helping', 'u', 'continue', 'kind', 'journalism', 'httpsonnatgeocom2PIkMVo']",1,5915,64,0
"['Scientists', 'spotted', 'cellular', 'structuresand', 'substance', 'behaves', 'like', 'DNAin', 'cartilage', '70', 'million', 'year', 'old', 'Hints', 'fossil', 'DNA', 'discovered', 'dinosaur', 'skull']",1,6085,115,784
"['scientist', 'investigate', 'microbe', 'living', 'inside', 'u', 'learn', 'surprising', 'impact', 'look', 'act', 'think', 'feel', 'trillion', 'microbe', 'affect', 'every', 'stage', 'lifefrom', 'birth', 'old', 'age']",1,2487,49,716
"['elephant', 'seal', 'taking', 'midday', 'nap', 'photographer', 'Barbara', 'Engel', 'visited', 'South', 'Georgia', 'Island', 'suddenly', 'seal', 'raised', 'head', 'say', 'Whats']",1,11029,141,0
"['extraordinary', 'rare', 'sighting', 'baby', 'dangles', 'dramatically', 'umbilical', 'corda', 'behavior', 'little', 'seen', 'expert', 'unsure', 'evolutionary', 'strategy', 'rare', 'video', 'sloth', 'giving', 'birth', 'scientist', 'excited']",1,6368,305,1691
"['Female', 'swamp', 'wallaby', 'two', 'uterus', 'conceive', 'one', 'two', 'day', 'giving', 'birthand', 'continuously', 'pregnant', 'adult', 'life', 'marsupial', 'animal', 'always', 'pregnant']",1,5115,190,930
"['Across', 'western', 'US', 'third', 'consumed', 'water', 'go', 'irrigate', 'crop', 'not', 'human', 'feed', 'beef', 'dairy', 'cattle', 'beef', 'eater', 'city', 'draining', 'river', 'American', 'West']",1,3225,401,882
"['National', 'Geographic', 'explorer', 'volcanologist', 'Jeffrey', 'B', 'Johnson', 'pioneered', 'technology', 'let', 'expert', 'listen', 'early', 'warning', 'sign', 'eruption', 'Learn', 'Masaya', 'Volcano', 'Nicaragua', 'ExtraordinaryEarth', 'series', 'Good', 'Morning', 'America']",0,2141,64,0
"['long', 'list', 'animal', 'evolved', 'look', 'way', 'impressing', 'potential', 'partner', 'intimidating', 'sexual', 'rival', 'camouflage', 'even', 'thermoregulation', 'Imitation', 'crab', 'Meet', '6', 'creature', 'steal', 'others', 'look']",1,4317,85,884
"['Flowers', 'pick', 'frequency', 'pollinatorslike', 'bee', 'wingswhile', 'tuning', 'sound', 'like', 'wind', 'researcher', 'found', 'Flowers', 'hear', 'buzzing', 'beesand', 'make', 'nectar', 'sweeter']",1,15198,308,10095
"['Bear', 'dog', 'crucial', 'solving', 'wildlife', 'crime', 'locating', 'polar', 'bear', 'den', 'protect', 'even', 'acting', 'bear', 'shepherdsconditioning', 'steer', 'clear', 'human', 'dog', 'scare', 'bear', 'awayto', 'protect']",1,12803,209,2101
"['caracal', 'agile', 'hunter', 'known', 'snatching', 'two', 'bird', 'air', 'single', 'leap']",0,15700,420,0
"['Ancient', 'volcanic', 'force', 'forged', 'spectacular', 'coastal', 'playground', 'perfect', 'place', 'scramble', 'across', 'mythical', 'landscape', 'Dinosaurs', 'gladiator', '10', 'World', 'Heritage', 'trip', 'family']",1,2560,33,175
"['little', 'visibility', 'no', 'sign', 'wildlife', 'Wilhelmina', 'Bay', 'Antarctica', 'Shot', 'photographer', 'Karthik', 'Ravindran', 'turn', 'back', 'within', 'minute', 'hardly', '20', 'foot', 'away', 'surrounded', 'score', 'humpback', 'whale']",1,7829,59,0
